ORIGINAL	CONTEXT	TRANSLATED
talked quietly while the classes swept by in panorama of life.	Amory looked long at one house which bore the legend “Sixty-nine.” There a few gray-haired men sat and talked quietly while the classes swept by in panorama of life.	talked quietly as students walked past.

a few gray-haired men	Amory looked long at one house which bore the legend “Sixty-nine.” There a few gray-haired men sat and talked quietly while the classes swept by in panorama of life.	some old men

tragedy’s emerald eyes	Then tragedy’s emerald eyes glared suddenly at Amory over the edge of June. On the night after his ride to Lawrenceville a crowd sallied to New York in quest of adventure, and started back to Princeton about twelve o’clock in two machines.	sudden misfortune

sallied to New York in quest of adventure, and started back to Princeton about twelve o’clock in two machines.	Then tragedy’s emerald eyes glared suddenly at Amory over the edge of June. On the night after his ride to Lawrenceville a crowd sallied to New York in quest of adventure, and started back to Princeton about twelve o’clock in two machines. It had been a gay party and different stages of sobriety were represented.	went to New York looking for excitement, and headed back to Princeton around midnight in two cars.

about twelve o’clock	Then tragedy’s emerald eyes glared suddenly at Amory over the edge of June. On the night after his ride to Lawrenceville a crowd sallied to New York in quest of adventure, and started back to Princeton about twelve o’clock in two machines. It had been a gay party and different stages of sobriety were represented.	around midnight

stages of sobriety were represented.	On the night after his ride to Lawrenceville a crowd sallied to New York in quest of adventure, and started back to Princeton about twelve o’clock in two machines. It had been a gay party and different stages of sobriety were represented. Amory was in the car behind; they had taken the wrong road and lost the way, and so were hurrying to catch up.	people were in varying states of drunkenness.

was in the car behind; they had taken the wrong road and lost the way, and so were hurrying to catch up.	It had been a gay party and different stages of sobriety were represented. Amory was in the car behind; they had taken the wrong road and lost the way, and so were hurrying to catch up. It was a clear night and the exhilaration of the road went to Amory’s head.	was in the car behind because they'd gotten lost and were rushing to catch up.

Amory’s head	Amory was in the car behind; they had taken the wrong road and lost the way, and so were hurrying to catch up. It was a clear night and the exhilaration of the road went to Amory’s head. He had the ghost of two stanzas of a poem forming in his mind.	Amory's head

exhilaration of the road went to Amory’s head.	Amory was in the car behind; they had taken the wrong road and lost the way, and so were hurrying to catch up. It was a clear night and the exhilaration of the road went to Amory’s head. He had the ghost of two stanzas of a poem forming in his mind.	Amory felt thrilled and excited by being on the road.

two stanzas	It was a clear night and the exhilaration of the road went to Amory’s head. He had the ghost of two stanzas of a poem forming in his mind. So the gray car crept nightward in the dark and there was no life stirred as it went by.	two verses
