sub_sentence	context	target_sentence
be the maws of kites.	If thou canst nod, speak too. If charnel-houses and our graves must send Those that we bury back, our monuments Shall be the maws of kites.	If charnel-houses and our graves must send Those that we bury back, our monuments Shall be the maws of kites.
What, quite unmann'd in folly?	What, quite unmann'd in folly?	What, quite unmann'd in folly?
Fie, for shame!	Fie, for shame!	Fie, for shame!
Blood hath	Blood hath been shed ere now, i' the olden time, Ere human statute purged the gentle weal; Ay, and since too, murders have been perform'd Too terrible for the ear: the times have been, That, when the brains were out, the man would die, And there an end; but now they rise again, With twenty mortal murders on their crowns, And push us from our stools: this is more strange Than such a murder is.	Blood hath been shed ere now, i' the olden time, Ere human statute purged the gentle weal; Ay, and since too, murders have been perform'd Too terrible for the ear: the times have been, That, when the brains were out, the man would die, And there an end; but now they rise again, With twenty mortal murders on their crowns, And push us from our stools: this is more strange Than such a murder is.
rise again, With twenty mortal murders on their crowns, And push us from our stools: this is more strange Than such a murder is.	Blood hath been shed ere now, i' the olden time, Ere human statute purged the gentle weal; Ay, and since too, murders have been perform'd Too terrible for the ear: the times have been, That, when the brains were out, the man would die, And there an end; but now they rise again, With twenty mortal murders on their crowns, And push us from our stools: this is more strange Than such a murder is.	Blood hath been shed ere now, i' the olden time, Ere human statute purged the gentle weal; Ay, and since too, murders have been perform'd Too terrible for the ear: the times have been, That, when the brains were out, the man would die, And there an end; but now they rise again, With twenty mortal murders on their crowns, And push us from our stools: this is more strange Than such a murder is.
Ere human statute	Blood hath been shed ere now, i' the olden time, Ere human statute purged the gentle weal; Ay, and since too, murders have been perform'd Too terrible for the ear: the times have been, That, when the brains were out, the man would die, And there an end; but now they rise again, With twenty mortal murders on their crowns, And push us from our stools: this is more strange Than such a murder is.	Blood hath been shed ere now, i' the olden time, Ere human statute purged the gentle weal; Ay, and since too, murders have been perform'd Too terrible for the ear: the times have been, That, when the brains were out, the man would die, And there an end; but now they rise again, With twenty mortal murders on their crowns, And push us from our stools: this is more strange Than such a murder is.
twenty mortal murders	Blood hath been shed ere now, i' the olden time, Ere human statute purged the gentle weal; Ay, and since too, murders have been perform'd Too terrible for the ear: the times have been, That, when the brains were out, the man would die, And there an end; but now they rise again, With twenty mortal murders on their crowns, And push us from our stools: this is more strange Than such a murder is.	Blood hath been shed ere now, i' the olden time, Ere human statute purged the gentle weal; Ay, and since too, murders have been perform'd Too terrible for the ear: the times have been, That, when the brains were out, the man would die, And there an end; but now they rise again, With twenty mortal murders on their crowns, And push us from our stools: this is more strange Than such a murder is.
the gentle weal	Blood hath been shed ere now, i' the olden time, Ere human statute purged the gentle weal; Ay, and since too, murders have been perform'd Too terrible for the ear: the times have been, That, when the brains were out, the man would die, And there an end; but now they rise again, With twenty mortal murders on their crowns, And push us from our stools: this is more strange Than such a murder is.	Blood hath been shed ere now, i' the olden time, Ere human statute purged the gentle weal; Ay, and since too, murders have been perform'd Too terrible for the ear: the times have been, That, when the brains were out, the man would die, And there an end; but now they rise again, With twenty mortal murders on their crowns, And push us from our stools: this is more strange Than such a murder is.
a strange infirmity	I do forget. Do not muse at me, my most worthy friends, I have a strange infirmity, which is nothing To those that know me. Come, love and health to all; Then I'll sit down.	Do not muse at me, my most worthy friends, I have a strange infirmity, which is nothing To those that know me.
infirmity, which is nothing To those that know me.	I do forget. Do not muse at me, my most worthy friends, I have a strange infirmity, which is nothing To those that know me. Come, love and health to all; Then I'll sit down.	Do not muse at me, my most worthy friends, I have a strange infirmity, which is nothing To those that know me.
Banquo, whom we miss; Would he were here!	Give me some wine; fill full. I drink to the general joy o' the whole table, And to our dear friend Banquo, whom we miss; Would he were here! to all, and him, we thirst, And all to all.	I drink to the general joy o' the whole table, And to our dear friend Banquo, whom we miss; Would he were here!
him, we thirst, And all to all.	I drink to the general joy o' the whole table, And to our dear friend Banquo, whom we miss; Would he were here! to all, and him, we thirst, And all to all.	to all, and him, we thirst, And all to all.
glare with!	let the earth hide thee! Thy bones are marrowless, thy blood is cold; Thou hast no speculation in those eyes Which thou dost glare with!	Thy bones are marrowless, thy blood is cold; Thou hast no speculation in those eyes Which thou dost glare with!
