sub_sentence	context
Asker of questions.	You are a student, so they say; You hammered out the other day A syllabus, from what we know Of some forgotten folio; You’d sniffled through an era’s must, Filling your nostrils up with dust, And then, arising from your knees, Published, in one gigantic sneeze. But here’s a neighbor on my right, An Eager Ass, considered bright; Asker of questions. How he’ll stand, With earnest air and fidgy hand, After this hour, telling you He sat all night and burrowed through Your book.
stand, With earnest air and fidgy hand, After this hour, telling you He sat all night and burrowed through Your book.	But here’s a neighbor on my right, An Eager Ass, considered bright; Asker of questions. How he’ll stand, With earnest air and fidgy hand, After this hour, telling you He sat all night and burrowed through Your book. Oh, you’ll be coy and he Will simulate precosity, And pedants both, you’ll smile and smirk, And leer, and hasten back to work. ’
earnest air and fidgy hand	But here’s a neighbor on my right, An Eager Ass, considered bright; Asker of questions. How he’ll stand, With earnest air and fidgy hand, After this hour, telling you He sat all night and burrowed through Your book. Oh, you’ll be coy and he Will simulate precosity, And pedants both, you’ll smile and smirk, And leer, and hasten back to work. ’
smile and smirk, And leer, and hasten back to work. ’	How he’ll stand, With earnest air and fidgy hand, After this hour, telling you He sat all night and burrowed through Your book. Oh, you’ll be coy and he Will simulate precosity, And pedants both, you’ll smile and smirk, And leer, and hasten back to work. ’ Twas this day week, sir, you returned A theme of mine, from which I learned (Through various comment on the side Which you had scrawled) that I defied The highest rules of criticism For cheap and careless witticism.
learned (Through various comment on the side Which you had scrawled) that I defied The highest rules of criticism For cheap and careless witticism.	Oh, you’ll be coy and he Will simulate precosity, And pedants both, you’ll smile and smirk, And leer, and hasten back to work. ’ Twas this day week, sir, you returned A theme of mine, from which I learned (Through various comment on the side Which you had scrawled) that I defied The highest rules of criticism For cheap and careless witticism. ‘Are you quite sure that this could be?’
cheap and careless witticism	Oh, you’ll be coy and he Will simulate precosity, And pedants both, you’ll smile and smirk, And leer, and hasten back to work. ’ Twas this day week, sir, you returned A theme of mine, from which I learned (Through various comment on the side Which you had scrawled) that I defied The highest rules of criticism For cheap and careless witticism. ‘Are you quite sure that this could be?’
Plays havoc with your best percent.	And ‘Shaw is no authority!’ But Eager Ass, with what he’s sent, Plays havoc with your best percent. Still—still I meet you here and there.
hold a chair, And some defunct, moth-eaten star Enchants the mental prig you are.	Still—still I meet you here and there. When Shakespeare’s played you hold a chair, And some defunct, moth-eaten star Enchants the mental prig you are. A radical comes down and shocks The atheistic orthodox?– You’re representing Common Sense, Mouth open, in the audience.
the mental prig	Still—still I meet you here and there. When Shakespeare’s played you hold a chair, And some defunct, moth-eaten star Enchants the mental prig you are. A radical comes down and shocks The atheistic orthodox?– You’re representing Common Sense, Mouth open, in the audience.
some defunct, moth-eaten star	Still—still I meet you here and there. When Shakespeare’s played you hold a chair, And some defunct, moth-eaten star Enchants the mental prig you are. A radical comes down and shocks The atheistic orthodox?– You’re representing Common Sense, Mouth open, in the audience.
