ORIGINAL	TRANSLATED
What should we say, my lord?	What should we say, sir?

Why, any thing, but to the purpose. You were sent for; and there is a kind of confession in your looks which your modesties have not craft enough to colour: I know the good king and queen have sent for you.	Anything but the truth. You were summoned. And there's a guilty look on your faces that you're not clever enough to hide. I know the king and queen sent for you.

To what end, my lord?	For what purpose, my lord?

That you must teach me. But let me conjure you, by the rights of our fellowship, by the consonancy of our youth, by the obligation of our ever-preserved love, and by what more dear a better proposer could charge you withal, be even and direct with me, whether you were sent for, or no?	You'll have to tell me. But I beg you, by the bonds of our friendship, by the closeness of our age, by the promise of our lasting love, and by whatever stronger reason someone could use to persuade you, be honest and straightforward with me: were you summoned here, or not?

(Aside to Guildenstern.) What say you?	(Speaking quietly to Guildenstern.) What do you think?

(Aside.) Nay, then, I have an eye of you.—If you love me, hold not off.	(To himself.) Alright, I'm watching you. If you care about me, don't hold back.

My lord, we were sent for.	My lord, we were summoned.

I will tell you why; so shall my anticipation prevent your discovery, and your secrecy to the king and queen moult no feather. I have of late—but wherefore I know not—lost all my mirth, forgone all custom of exercises; and indeed it goes so heavily with my disposition that this goodly frame, the earth, seems to me a sterile promontory, this most excellent canopy, the air, look you, this brave o’erhanging firmament, this majestical roof fretted with golden fire, why, it appears no other thing to me than a foul and pestilent congregation of vapours. What a piece of work is a man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world! the paragon of animals! And yet, to me, what is this quintessence of dust? man delights not me: no, nor woman neither, though by your smiling you seem to say so.	I'll tell you why. I'll tell you before you figure it out yourself, and your silence toward the king and queen will remain completely intact. Lately, and I don't know why, I've lost all my joy. I've stopped doing my usual exercises. And honestly, I feel so down that the beautiful world, the Earth, seems like a barren wasteland. The sky, this amazing roof above us, decorated with shining stars, looks to me like nothing more than a disgusting cloud of disease. What an amazing creation is man! How intelligent! How limitless in ability! How graceful and wonderful in movement! How angelic in action! How godlike in understanding! The beauty of the world! The perfect being! And yet, to me, what is this perfect being made of dust? Man doesn't make me happy. And neither does woman, even though your smile seems to suggest otherwise.

My lord, there was no such stuff in my thoughts.	My lord, I wasn't thinking anything like that.

Why did you laugh then, when I said “man delights not me”?	Why did you laugh then, when I said I find no pleasure in people?

To think, my lord, if you delight not in man, what lenten entertainment the players shall receive from you: we coted them on the way; and hither are they coming, to offer you service.	My lord, if you don't enjoy people, consider how poorly you'll treat the actors. We passed them on the road; they're coming here to perform for you.

He that plays the king shall be welcome; his majesty shall have tribute of me; the adventurous knight shall use his foil and target; the lover shall not sigh gratis; the humourous man shall end his part in peace; the clown shall make those laugh whose lungs are tickled o’ the sere; and the lady shall say her mind freely, or the blank verse shall halt for’t. What players are they?	The actor playing the king will be treated well; his highness will get gifts from me. The daring knight will use his sword and shield; the lover won't sigh for nothing; the eccentric man will finish his role calmly; the comedian will make those laugh whose lungs are easily amused; and the lady will speak her mind freely, or the play's rhythm will suffer. What kind of actors are they?

Even those you were wont to take delight in, the tragedians of the city.	Even the actors you used to enjoy, the city's best.

How chances it they travel? their residence, both in reputation and profit, was better both ways.	How is it they're touring? Staying here, where they were known and making good money, was better for them in every way.

I think their inhibition comes by the means of the late innovation.	I think their reluctance comes from the new change.

Do they hold the same estimation they did when I was in the city? are they so followed?	Do they still have the same reputation they had when I was in town? Are they still so popular?

No, indeed, are they not.	No, they really aren't.

How comes it? do they grow rusty?	What's wrong? Are they getting rusty?

Nay, their endeavour keeps in the wonted pace: but there is, sir, an aery of children, little eyases, that cry out on the top of question, and are most tyrannically clapped for’t: these are now the fashion, and so berattle the common stages—so they call them—that many wearing rapiers are afraid of goose-quills and dare scarce come thither.	No, their acting is still as slow and boring as usual. But there’s this new thing, sir: a group of child actors, little baby hawks, who scream at the top of their lungs, and get wild applause for it. These kids are all the rage now, and they attack the regular theaters – that's what they're called – so fiercely that lots of gentlemen with swords are scared of playwrights' pens and barely even go there anymore.
